Volume,Day,Treatment,ID
47.432,0,A,1
98.315,5,A,1
593.028,15,A,1
565,19,A,1
1041.88,26,A,1
1555.2,30,A,1
36,0,B,2
34.2225,4,B,2
45.6,10,B,2
87.5,16,B,2
161.604,21,B,2
166.464,26,B,2
252.486,30,B,2
302.58,37,B,2
288,41,B,2
493.056,46,B,2
600,52,B,2
750.2,56,B,2
755.2125,59,B,2
671.058,63,B,2
689.585,69,B,2
936,77,B,2
1267.5,82,B,2
1764,87,B,2
47.9085,0,E,3
52.8,4,E,3
100,10,E,3
180.224,16,E,3
202.554,21,E,3
320,26,E,3
328.05,30,E,3
405,37,E,3
338.688,41,E,3
643.468,46,E,3
738.1,52,E,3
993.6,56,E,3
1263.24,59,E,3
1137.0945,63,E,3
1724.05,69,E,3
55.47,0,C,4
59.248,5,C,4
69.629,15,C,4
125.316,19,C,4
120.736,26,C,4
220.5,30,C,4
362.404,32,C,4
346.8,35,C,4
520,41,C,4
1199.9,45,C,4
1370.8975,48,C,4
1675.656,52,C,4
100.602,0,D,5
428.968,5,D,5
821.34,15,D,5
514.35,19,D,5
617.463,26,D,5
1071.648,30,D,5
1523.52,32,D,5
0,0,A,6
220.5,5,A,6
70,15,A,6
70,19,A,6
40,26,A,6
81.12,30,A,6
154.791,32,A,6
178.596,35,A,6
285.912,41,A,6
286.875,45,A,6
406.802,48,A,6
384,52,A,6
1051.2,58,A,6
1440,64,A,6
22.869,0,B,7
41.6025,4,B,7
45.864,10,B,7
140.4,16,B,7
220.5,21,B,7
323.456,26,B,7
406.451,30,B,7
650,37,B,7
1230.08,41,B,7
1318.2,46,B,7
1744.4,52,B,7
126,0,C,8
80,5,C,8
251.424,15,C,8
207.36,19,C,8
303.116,26,C,8
458.7875,30,C,8
413.343,32,C,8
266.45,35,C,8
409.248,41,C,8
624.24,45,C,8
936,48,C,8
936,52,C,8
950.4,58,C,8
1132.8125,64,C,8
1599.696,72,C,8
83.232,0,D,9
196,5,D,9
265.586,15,D,9
320,19,D,9
382.2345,26,D,9
425.25,30,D,9
55.296,0,A,10
178.5375,5,A,10
176.4,15,A,10
251.896,19,A,10
525,26,A,10
590,30,A,10
419.71,32,A,10
600,35,A,10
738.1,41,A,10
734.274,45,A,10
957.6,48,A,10
1116.3,52,A,10
1830.1855,58,A,10
85,0,C,11
84.564,5,C,11
80,15,C,11
107.911,19,C,11
144,26,C,11
334.1165,30,C,11
275.2,32,C,11
332.35,35,C,11
245,41,C,11
517.495,45,C,11
779.76,48,C,11
829.985,52,C,11
1620.675,58,C,11
150.822,0,D,12
94.08,5,D,12
198.656,15,D,12
165.6,19,D,12
194.35,26,D,12
158.4,30,D,12
289.6875,32,D,12
344.45,35,D,12
742.63,41,D,12
604.713,45,D,12
827.544,48,D,12
1693.776,52,D,12
45.6,0,A,13
22.869,5,A,13
210.944,15,A,13
156.426,19,A,13
566.784,26,A,13
538.265,30,A,13
479.808,32,A,13
441.6,35,A,13
889.35,41,A,13
1060.8975,45,A,13
1479.68,48,A,13
93.312,0,B,14
103.968,4,B,14
117.74,10,B,14
251.9825,16,B,14
265.6,21,B,14
262.4,26,B,14
220.32,30,B,14
375.44,37,B,14
325.125,41,B,14
302.58,46,B,14
119.072,52,B,14
115.2,56,B,14
21.15,0,E,15
54.4,4,E,15
81.25,10,E,15
114.464,16,E,15
114.444,21,E,15
131.712,26,E,15
133.1,30,E,15
97.344,37,E,15
108.1465,41,E,15
91.25,46,E,15
63.36,52,E,15
60.75,56,E,15
32,59,E,15
69.12,63,E,15
75,69,E,15
40,77,E,15
28.88,82,E,15
13.5,87,E,15
6,97,E,15
6,101,E,15
6,106,E,15
92.697,0,C,16
189.486,5,C,16
224.516,15,C,16
541.008,19,C,16
635.4195,26,C,16
844.74,30,C,16
650,32,C,16
825.246,35,C,16
936,41,C,16
1642.8,45,C,16
96.9105,0,D,17
362.404,5,D,17
431.433,15,D,17
914.4,19,D,17
864,26,D,17
877.25,30,D,17
1049.322,32,D,17
1575.936,35,D,17
116.032,0,A,18
31.941,5,A,18
451.25,15,A,18
422.331,19,A,18
624.24,26,A,18
510.291,30,A,18
750.2,32,A,18
726,35,A,18
1245.184,41,A,18
1576.875,45,A,18
18.513,0,B,19
18.513,4,B,19
32.946,10,B,19
23.1275,16,B,19
0,21,B,19
73.2305,26,B,19
62.5,30,B,19
56,37,B,19
66.4,41,B,19
56,46,B,19
87.552,52,B,19
78.4,56,B,19
112.5,59,B,19
61.74,63,B,19
80,69,B,19
56,77,B,19
60.8,82,B,19
70.56,87,B,19
57.319,97,B,19
65.8125,101,B,19
52,106,B,19
21.504,0,E,20
30.625,4,E,20
47.2,10,E,20
120.213,16,E,20
121,21,E,20
218.05,26,E,20
252.486,30,E,20
288,37,E,20
779.76,41,E,20
690,46,E,20
1202.256,52,E,20
1538.6,56,E,20
40,0,C,21
295.074,5,C,21
383.8185,15,C,21
479.2205,19,C,21
516.304,26,C,21
410.478,30,C,21
484.416,32,C,21
526.5,35,C,21
700,41,C,21
998.25,45,C,21
1436.5,48,C,21
68.75,0,D,22
104.104,5,D,22
461.7,15,D,22
408.726,19,D,22
308.308,26,D,22
219.7,30,D,22
449.55,32,D,22
620,35,D,22
245,41,D,22
1044,45,D,22
1205.604,48,D,22
1503.5625,52,D,22
36.1,0,A,23
70,5,A,23
273.8,15,A,23
200.376,19,A,23
330.773,26,A,23
493.9725,30,A,23
407.9315,32,A,23
